iso_alpha;État ou territoire;1990;1995;2000;2005;2010;2015
JPN;Japon;100;100;98.48;98.52;98.73;98.95
JOR;Jordanie;96.3;96.7;99.59;99.24;98.9;98.57
KAZ;Kazakhstan;94.1;94;86.18;87.88;89.62;91.15
KEN;Kenya;42.8;47.4;46.39;50.59;54.62;58.46
KGZ;Kirghizistan;74.7;75;80.32;82.33;84.84;87.27
KIR;Kiribati;49.6;53.3;60.79;62.25;63.63;64.39
KWT;Koweït;99;99;100;100;100;100
LAO;Laos;;39.9;45.83;58.07;69.6;80.45
LSO;Lesotho;77.4;78;66.37;68.14;69.87;71.59
LVA;Lettonie;98.3;98.3;97.65;97.92;98.26;98.6
LBN;Liban;;83.3;85.39;87.68;89.97;92.26
LBR;Liberia;;61.3;61.71;64.52;67.24;69.9
LBY;Libye;71.2;71.2;71.2;71.2;96.75;96.75
MENTIR;Liechtenstein;;;100;100;100;100
LTU;Lituanie;87.2;89.1;90.05;92.63;95.29;97.38
LUX;Luxembourg;100;100;99.92;99.93;99.94;99.95
MAC;Macao (Chine);;;100;100;100;100
MKD;Macédoine;99.3;99.3;97.89;97.39;96.66;96.77
MDG;Madagascar;29.5;34;36.69;40.82;45.67;50.62
MYS;Malaisie;90.3;92.2;98.15;97.55;96.92;96.43
MWI;Malawi;42.5;52.7;51.6;56.82;62;67.2
MDV;Maldives;93.2;93.5;88.58;94.32;98.19;97.88
MLI;Mali;27.1;36.8;49.22;57.69;66.06;74.27
TLM;Malte;99.8;99.9;100;100;100;100
MNP;Mariannes du Nord (États-Unis);94;94.8;98.79;98.99;99.18;99.26
MAR;Maroc;72.6;75.8;64.13;70.6;77.04;82.97
MUS;Maurice;99.2;99.2;99.28;99.5;99.73;99.87
MRT;Mauritanie;29.1;35.7;53.61;59.43;64.76;69.61
MEX;Mexique;82.3;85.6;89.31;92.47;95.46;98.31
FSM;Micronésie;91;90.7;92.61;90.83;89.05;88.35
MDA;Moldavie;;84.2;84.06;84.95;85.87;86.69
AGC;Monaco;100;100;100;100;100;100
MNG;Mongolie;53.4;53.7;65.01;71.95;78.04;83.22
MNE;Monténégro;;;97.1;97.9;96.02;97.63
MOZ;Mozambique;35.1;37;22.21;30.25;38.7;47.26
MMR;Myanmar (Birmanie);58.5;60.9;54.83;59.05;63.31;67.54
NAM;Namibie;69.6;74.1;77.41;77.59;78.12;78.79
NRU;Nauru;;;95.11;97.08;99.05;100
NPL;Népal;65.9;71.6;79.5;82.41;85.15;87.75
NIC;Nicaragua;72.7;75.8;80.63;81.09;81.62;82.26
NER;Niger;33.7;38.7;38;40.47;43.09;45.84
NGA;Nigeria;39.9;46;46.08;53.57;60.69;67.34
NOR;Norvège;100;100;100;100;100;100
NCL;Nouvelle-Calédonie (France);;;94.52;99.55;97.27;98.98
NZL;Nouvelle-Zélande;100;100;100;100;100;100
OMN;Oman;78.8;80.3;84;76.58;84.19;90.94
UGA;Ouganda;40.4;48.4;30.01;32.86;35.9;38.92
UZB;Ouzbékistan;90;89.6;85.36;89.4;91.46;"91.46
(2012)"
PAK;Pakistan;86.3;87.4;88.94;88.88;88.76;88.55
PLW;Palaos;90;91.5;91.65;95.07;97.66;99.58
PSE;Palestine;;96;88.21;88.12;87.94;87.65
PAN;Panama;83.8;86.9;88.2;90.55;92.81;95
PNG;Papouasie-Nouvelle-Guinée;33.8;33.6;36.71;36.65;36.6;36.6
PRY;Paraguay;53;63.6;75.03;83.54;91.37;98.89
NLD;Pays-Bas;100;100;100;100;100;100
PER;Pérou;74.3;77.1;80.52;83.91;87.03;89.87
PHL;Philippines;83.9;85.5;86.09;87.53;88.99;90.5
POL;Pologne;94.3;95;95.9;97.92;97.9;97.89
PYF;Polynésie française (France);100;100;100;100;100;100
PRI;Porto Rico (États-Unis);93.6;93.6;97.06;97.08;97.1;97.12
PRT;Portugal;96.1;97.1;98.54;99.06;99.58;99.9
QAT;Qatar;;98.7;100;100;100;100
DOM;République dominicaine;87.3;87;91.09;92.35;93.53;94.48
CZE;République tchèque;99.8;99.8;99.81;99.83;99.86;99.88
ROU;Roumanie;73.9;79.8;100;100;100;100
GBR;Royaume-Uni;100;100;100;100;100;100
RUS;Russie;93.4;94.2;95.32;95.62;96;96.38
RWA;Rwanda;58.5;62.4;46.99;50.22;53.48;56.71
KNA;Saint-Christophe-et-Niévès;98.3;98.3;98.21;98.63;98.97;"98.97
(2013)"
SXM;Sainte-Lucie;92.5;93.4;88.48;90.78;94.96;98.16
;Saint-Marin;;;100;100;100;100
MAF;Saint-Martin (Pays-Bas);;;;;95.5;95.5
VCT;Saint-Vincent-et-les-Grenadines;88.2;90.8;93.15;93.86;94.58;95.15
SLV;Salvador;70.2;76.2;80.24;84.45;89.09;93.01
WSM;Samoa;88.9;91.1;93.01;93.33;94.69;95.51
ASM;Samoa américaines (États-Unis);93.6;95.7;98.5;98.8;99.11;99.23
STP;Sao Tomé-et-Principe;;74;66.92;71.34;75.6;79.7
SEN;Sénégal;59.9;63.7;61.62;66.16;70.7;75.19
SRB;Serbie;99.4;99.4;91.82;91.3;90.06;91.18
SYC;Seychelles;95.7;95.7;93.26;94.46;95.66;96.25
SLE;Sierra Leone;36.7;42;38.72;44.53;51.35;58.09
SGP;Singapour;100;100;100;100;100;100
SVK;Slovaquie;99.8;99.8;97.98;97.97;97.95;97.93
SVN;Slovénie;99.6;99.6;99.62;99.58;99.55;99.52
SOM;Somalie;;21;20.68;26.92;33.36;40
SDN;Soudan;67.4;65.5;43.43;44.88;51.87;58.93
SSD;Soudan du Sud;;;;;;50.41
LKA;Sri Lanka;68.3;74;77.47;82.41;87.35;92.31
SWE;Suède;100;100;100;100;100;100
CHE;Suisse;100;100;100;100;100;100
SUR;Suriname;;88.3;88.84;91.34;93.73;94.68
SYR;Syrie;85.7;86.1;94.85;95.68;96.42;96.74
TJK;Tadjikistan;;57.7;57.18;63.19;69.25;74.14
TZA;Tanzanie;53.9;54.2;31.59;37.63;43.91;50.15
TCD;Tchad;39.8;42.3;39;40.12;41.26;42.54
THA;Thaïlande;87.3;89.6;94.25;95.78;97.11;98.23
TLS;Timor oriental;;52.8;52.8;56.06;63.11;70.22
TGO;Togo;47.5;50.5;45.39;51.21;57.02;62.82
TON;Tonga;98.6;98.6;98.49;98.63;99.34;99.91
TTO;Trinité-et-Tobago;91.6;92.5;91.89;94.18;96.48;96.94
TUN;Tunisie;82.5;86.5;87.67;90.14;92.32;94.23
TKM;Turkménistan;;59;83.99;87.64;91.16;94.45
TCA;Turques-et-Caïques (Royaume-Uni);;87;86.49;89.29;92.08;94.32
TUR;Turquie;86.2;89.2;95.49;96.69;97.91;98.9
TUV;Tuvalu;89.8;91.9;94;97.92;98.66;99.26
UKR;Ukraine;;97.5;95.66;96.31;96.94;97.73
URY;Uruguay;94.8;95.4;96.75;97.28;98.37;99.25
VUT;Vanuatu;62.4;69.2;81.61;82.62;86.62;90.5
VEN;Venezuela;88.8;90;96.06;96.62;97.11;97.42
VGR;Vierges américaines (États-Unis);100;100;100;100;100;100
VGB;Vierges britanniques (Royaume-Uni);;94.8;95.3;97.2;99.1;99.86
VNM;Viêt Nam;62.7;70.1;77.86;82.23;86.58;91.19
YEM;Yémen;66.3;63.3;42.71;49.81;60.37;70.36
ZMB;Zambie;49.2;51;48.58;52.85;57.11;61.23
ZWE;Zimbabwe;79.4;79.5;70.39;69.58;68.07;66.56
